Timestamp,BR,RtoR
25/06/2018 12:58:52.275,1657,-2.315
25/06/2018 12:58:52.331,1658,-2.315
25/06/2018 12:58:52.387,1658,-2.315
25/06/2018 12:58:52.443,1658,-2.315
25/06/2018 12:58:52.499,1658,-2.315
25/06/2018 12:58:52.555,1658,-2.315
25/06/2018 12:58:52.611,1658,-2.315
25/06/2018 12:58:52.667,1657,-2.315
25/06/2018 12:58:52.723,1658,-2.315
25/06/2018 12:58:52.779,1658,-2.315
25/06/2018 12:58:52.835,1658,-2.315
25/06/2018 12:58:52.891,1658,-2.315
25/06/2018 12:58:52.947,1658,-2.315
25/06/2018 12:58:53.003,1658,-2.315
25/06/2018 12:58:53.059,1657,-2.315
25/06/2018 12:58:53.115,1658,-2.315
25/06/2018 12:58:53.171,1658,-2.315
25/06/2018 12:58:53.227,1658,-2.315
25/06/2018 12:58:53.283,1658,-2.315
25/06/2018 12:58:53.339,1658,-2.315
25/06/2018 12:58:53.395,1658,-2.315
25/06/2018 12:58:53.451,1658,-2.315
25/06/2018 12:58:53.507,1658,-2.315
25/06/2018 12:58:53.563,1658,-2.315
25/06/2018 12:58:53.619,1658,-2.315
25/06/2018 12:58:53.675,1658,-2.315
25/06/2018 12:58:53.731,1658,-2.315
25/06/2018 12:58:53.787,1658,-2.315
25/06/2018 12:58:53.843,1657,-2.315
25/06/2018 12:58:53.899,1658,-2.315
25/06/2018 12:58:53.955,1658,-2.315
25/06/2018 12:58:54.011,1658,-2.315
25/06/2018 12:58:54.067,1658,-2.315
25/06/2018 12:58:54.123,1658,-2.315
25/06/2018 12:58:54.179,1658,-2.315
25/06/2018 12:58:54.235,1659,-2.315
25/06/2018 12:58:54.291,1659,-2.315
25/06/2018 12:58:54.347,1659,-2.315
25/06/2018 12:58:54.403,1658,-2.315
25/06/2018 12:58:54.459,1658,-2.315
25/06/2018 12:58:54.515,1658,-2.315
25/06/2018 12:58:54.571,1658,-2.315
25/06/2018 12:58:54.627,1659,-2.315
25/06/2018 12:58:54.683,1659,-2.315
25/06/2018 12:58:54.739,1658,-2.315
25/06/2018 12:58:54.795,1658,-2.315
25/06/2018 12:58:54.851,1658,-2.315
25/06/2018 12:58:54.907,1658,-2.315
25/06/2018 12:58:54.963,1658,-2.315
25/06/2018 12:58:55.019,1658,-2.315
25/06/2018 12:58:55.075,1658,-2.315
25/06/2018 12:58:55.131,1657,-2.315
25/06/2018 12:58:55.187,1657,-2.315
25/06/2018 12:58:55.243,1657,-2.315
25/06/2018 12:58:55.299,1657,-2.315
25/06/2018 12:58:55.355,1657,-2.315
25/06/2018 12:58:55.411,1657,-2.315
25/06/2018 12:58:55.467,1657,-2.315
25/06/2018 12:58:55.523,1657,4.128
25/06/2018 12:58:55.579,1657,4.128
25/06/2018 12:58:55.635,1657,4.128
25/06/2018 12:58:55.691,1657,4.128
25/06/2018 12:58:55.747,1657,4.128
25/06/2018 12:58:55.803,1657,4.128
25/06/2018 12:58:55.859,1657,4.128
25/06/2018 12:58:55.915,1657,4.128
25/06/2018 12:58:55.971,1657,4.128
25/06/2018 12:58:56.027,1657,4.128
25/06/2018 12:58:56.083,1657,4.128
25/06/2018 12:58:56.139,1657,4.128
25/06/2018 12:58:56.195,1657,4.128
