Time,BreathingWaveform
18/07/2018 10:31:17.552,6547082
18/07/2018 10:31:17.592,6546101
18/07/2018 10:31:17.632,6545327
18/07/2018 10:31:17.672,6547392
18/07/2018 10:31:17.712,6543572
18/07/2018 10:31:17.752,6551211
18/07/2018 10:31:17.792,6554309
18/07/2018 10:31:17.832,6552141
18/07/2018 10:31:17.872,6554360
18/07/2018 10:31:17.912,6556476
18/07/2018 10:31:17.952,6560709
18/07/2018 10:31:17.992,6559006
18/07/2018 10:31:18.032,6555599
18/07/2018 10:31:18.072,6555238
18/07/2018 10:31:18.112,6555805
18/07/2018 10:31:18.152,6560038
18/07/2018 10:31:18.192,6559057
18/07/2018 10:31:18.232,6555083
18/07/2018 10:31:18.272,6552038
18/07/2018 10:31:18.312,6549095
18/07/2018 10:31:18.352,6548373
18/07/2018 10:31:18.392,6548114
18/07/2018 10:31:18.432,6544295
18/07/2018 10:31:18.472,6544604
18/07/2018 10:31:18.512,6546359
18/07/2018 10:31:18.552,6548785
18/07/2018 10:31:18.592,6552450
18/07/2018 10:31:18.632,6555960
18/07/2018 10:31:18.672,6557199
18/07/2018 10:31:18.712,6558180
18/07/2018 10:31:18.752,6557561
18/07/2018 10:31:18.792,6558490
18/07/2018 10:31:18.832,6559573
18/07/2018 10:31:18.872,6559832
18/07/2018 10:31:18.912,6559057
18/07/2018 10:31:18.952,6557509
18/07/2018 10:31:18.992,6554928
18/07/2018 10:31:19.032,6551057
18/07/2018 10:31:19.072,6546824
18/07/2018 10:31:19.112,6541766
18/07/2018 10:31:19.152,6538462
18/07/2018 10:31:19.192,6538359
18/07/2018 10:31:19.232,6538255
18/07/2018 10:31:19.272,6538513
18/07/2018 10:31:19.312,6539236
18/07/2018 10:31:19.352,6540268
18/07/2018 10:31:19.392,6542282
18/07/2018 10:31:19.432,6542488
18/07/2018 10:31:19.472,6540991
18/07/2018 10:31:19.512,6540268
18/07/2018 10:31:19.552,6540836
18/07/2018 10:31:19.592,6539494
18/07/2018 10:31:19.632,6539340
18/07/2018 10:31:19.672,6538668
18/07/2018 10:31:19.712,6539185
